Time,Employment Forecast Wholesale Trade,Employment Forecast Retail Trade,Employment Forecast Accommodation,Employment Forecast Food & Beverage Services,Employment Forecast Transportation & Storage,Employment Forecast Information & Communications,Employment Forecast Banks & Finance Companies,Employment Forecast Security Dealing Activities,Employment Forecast Fund Management,Employment Forecast Insurance Companies,Employment Forecast Other Financial Services,Employment Forecast Real Estate,Employment Forecast Professional And Administrative & Support Services
  2022 4Q,0,1,24,-5,1,-2,4,0,0,15,-8,6,8
  2022 3Q,-1,36,44,30,17,18,-4,-31,0,21,18,11,16
  2022 2Q,13,22,54,6,15,13,9,0,-3,20,19,4,14
  2022 1Q,19,10,23,9,19,6,4,8,16,5,16,6,7
  2021 4Q,10,13,10,10,10,11,12,0,38,5,28,-1,2
  2021 3Q,5,29,28,15,8,6,0,0,59,7,7,4,7
  2021 2Q,9,3,5,0,5,1,4,0,0,9,19,0,-2
  2021 1Q,2,-1,-5,4,5,12,4,0,17,2,-2,13,1
  2020 4Q,1,2,-23,6,4,12,4,0,-21,15,4,-6,-10
  2020 3Q,-5,3,-60,8,-20,0,-2,-9,3,15,-1,-6,-18
  2020 2Q,-18,-15,-49,-27,-19,-5,0,0,-20,-15,-11,-30,-37
  2020 1Q,-13,-22,-56,-42,-18,-4,0,0,-28,-19,-11,-30,-38
  2019 4Q,0,-2,-16,-6,-2,1,0,0,25,9,2,14,0
  2019 3Q,-6,20,12,29,3,3,-2,-17,-8,7,12,0,4
  2019 2Q,0,-4,14,29,1,1,-2,-17,0,1,8,22,1
  2019 1Q,2,-4,-1,-4,-1,8,-7,10,24,5,9,0,3
  2018 4Q,0,9,-9,13,-1,4,-4,0,-22,5,6,-4,-2
  2018 3Q,11,35,1,17,2,4,-1,0,8,3,0,2,6
  2018 2Q,9,5,15,13,3,3,10,8,27,16,8,3,16
  2018 1Q,0,-6,-14,-1,0,1,8,11,61,17,21,1,9
  2017 4Q,2,4,-12,0,-3,-1,12,0,25,24,17,-3,-4
  2017 3Q,7,17,23,8,0,2,9,-1,38,12,18,-5,6
  2017 2Q,1,-1,23,29,0,9,8,8,50,22,29,-5,5
  2017 1Q,6,-15,-8,-2,-4,2,5,0,22,3,0,-11,2
  2016 4Q,1,5,-27,0,-7,0,-5,0,4,2,4,-5,-12
  2016 3Q,6,24,10,20,-5,4,-10,-11,20,15,1,-4,1
  2016 2Q,0,-6,17,7,-6,5,3,-31,-8,16,0,10,3
  2016 1Q,-6,0,-14,-7,-17,9,-5,0,1,8,9,3,-3
  2015 4Q,-13,2,-14,-1,-8,4,-3,0,3,19,32,-2,-13
  2015 3Q,7,36,33,27,-5,9,-5,0,0,10,24,10,13
  2015 2Q,-3,25,10,16,7,7,24,-15,78,21,24,8,0
  2015 1Q,1,-2,2,2,1,9,26,-3,86,41,26,5,8
  2014 4Q,0,4,-12,-6,-3,1,39,21,3,14,29,12,-5
  2014 3Q,12,41,7,22,4,7,11,-2,38,21,-7,3,12
  2014 2Q,7,13,19,-10,6,13,51,10,0,33,32,7,17
  2014 1Q,14,1,-12,10,7,6,6,6,42,28,2,11,6
  2013 4Q,5,0,-10,-21,-3,1,20,0,38,9,-17,0,1
  2013 3Q,2,45,21,22,4,10,18,0,16,4,-2,-1,6
  2013 2Q,6,11,20,6,5,5,17,-10,0,12,2,0,6
  2013 1Q,7,-2,4,-2,-1,1,18,0,0,2,14,14,1
  2012 4Q,5,0,-13,-6,2,1,1,0,5,9,-1,13,-1
  2012 3Q,3,36,10,28,1,7,-6,-5,-20,1,6,2,6
  2012 2Q,4,12,28,17,1,-4,0,22,-5,13,5,4,4
  2012 1Q,10,4,15,4,2,9,13,12,0,-6,11,2,2
  2011 4Q,-2,-5,-27,-6,-3,-1,-23,-14,-4,-10,-1,-10,-2
  2011 3Q,0,27,23,56,-1,2,-9,-20,-34,14,7,0,0
  2011 2Q,22,19,52,28,4,11,43,-14,6,45,8,11,5
  2011 1Q,21,-10,25,29,12,10,44,-3,21,55,24,-6,21
  2010 4Q,16,4,3,14,17,5,34,41,64,41,42,6,14
  2010 3Q,16,29,19,63,14,4,42,9,45,48,11,2,14
  2010 2Q,22,18,22,26,17,14,53,0,44,30,25,8,16
  2010 1Q,16,1,8,57,23,12,71,26,17,15,23,2,14
  2009 4Q,6,-3,3,5,27,7,55,36,11,36,23,-7,9
  2009 3Q,11,28,11,44,15,8,29,28,11,12,16,15,7
  2009 2Q,3,-4,23,10,11,-2,11,28,0,18,0,10,-3
  2009 1Q,-17,-13,-2,-9,-9,-14,-28,0,-25,-7,-19,-13,-22
  2008 4Q,-16,-26,-34,-33,-19,-19,-17,-16,0,-7,-20,-12,-17
  2008 3Q,7,18,4,45,14,5,-9,-10,8,0,-8,23,6
  2008 2Q,16,2,9,13,42,18,5,6,43,13,-5,15,15
  2008 1Q,21,5,7,30,39,19,-5,10,24,32,16,9,3
  2007 4Q,12,-1,24,3,37,11,67,25,61,64,36,13,20
  2007 3Q,15,26,18,56,40,15,65,18,37,10,28,13,23
  2007 2Q,11,7,4,26,27,7,61,16,68,44,29,18,27
  2007 1Q,16,0,19,27,37,15,44,5,72,27,36,24,31
  2006 4Q,4,16,4,31,11,11,63,27,59,56,24,3,32
  2006 3Q,17,44,17,12,19,4,32,27,62,43,32,3,19
  2006 2Q,6,9,7,1,15,7,26,17,66,45,20,3,15
  2006 1Q,6,0,17,14,35,3,61,21,64,40,20,-3,27
  2005 4Q,2,-6,22,25,27,15,48,14,61,38,20,-2,14
  2005 3Q,15,31,25,26,8,10,50,6,59,41,12,10,3
  2005 2Q,13,12,7,0,16,13,47,29,59,28,30,9,9
  2005 1Q,5,1,15,-9,28,8,59,25,58,23,-3,-5,9
  2004 4Q,5,-9,21,-9,17,6,57,39,45,17,6,-7,0
  2004 3Q,14,34,26,12,5,20,24,1,45,22,-1,7,0
  2004 2Q,9,2,9,1,8,24,58,7,39,21,34,0,6
  2004 1Q,7,-3,5,-4,3,7,41,16,47,14,3,0,8
