Time,Outlook Forecast Wholesale Trade,Outlook Forecast Retail Trade,Outlook Forecast Accommodation,Outlook Forecast Food & Beverage Services,Outlook Forecast Transportation & Storage,Outlook Forecast Information & Communications,Outlook Forecast Banks & Finance Companies,Outlook Forecast Security Dealing Activities,Outlook Forecast Fund Management,Outlook Forecast Insurance Companies,Outlook Forecast Other Financial Services,Outlook Forecast Real Estate,Outlook Forecast Professional And Administrative & Support Services
  2022 4Q,-6,8,16,-10,12,-4,1,14,-19,23,-1,2,12
  2022 3Q,-10,31,48,63,15,10,-8,-13,-34,31,26,-5,20
  2022 2Q,4,27,62,55,32,8,22,-1,-37,21,18,5,12
  2022 1Q,19,-5,15,3,23,7,19,40,0,16,25,1,11
  2021 4Q,20,11,5,8,17,20,19,6,14,18,23,-12,7
  2021 3Q,20,23,23,13,35,9,27,0,0,38,31,5,6
  2021 2Q,26,8,2,-9,10,10,7,11,0,18,26,-8,-1
  2021 1Q,13,-18,-20,10,5,23,23,-5,0,18,4,10,8
  2020 4Q,11,17,-42,14,8,12,25,0,0,16,16,-16,-9
  2020 3Q,-2,5,-51,10,-10,5,-16,-12,0,18,36,-45,-17
  2020 2Q,-27,-24,-76,-32,-35,-17,-22,-22,-20,-24,-14,-59,-42
  2020 1Q,-53,-84,-97,-96,-52,-21,-78,-34,-22,-81,-87,-63,-55
  2019 4Q,-15,-22,-32,-20,-4,8,17,0,0,2,16,0,1
  2019 3Q,-5,7,22,28,11,9,-24,-22,-21,24,11,-3,1
  2019 2Q,-4,-7,25,19,11,12,-14,-23,-17,11,17,4,0
  2019 1Q,9,-14,-2,-9,-14,18,-3,11,4,5,34,-1,5
  2018 4Q,-9,2,-26,4,-19,13,-16,-8,-17,12,21,-5,-1
  2018 3Q,2,29,17,36,3,13,-5,11,0,20,0,-18,2
  2018 2Q,4,7,38,37,6,9,17,10,1,23,12,-13,17
  2018 1Q,10,-19,-7,-6,6,2,25,13,4,20,5,9,6
  2017 4Q,6,-5,-23,-6,-11,-2,22,13,7,29,10,1,-1
  2017 3Q,6,19,11,34,0,9,4,-7,22,37,40,-5,9
  2017 2Q,-2,-5,27,41,-17,11,6,15,0,20,33,-6,17
  2017 1Q,6,-29,-15,-28,-18,8,11,13,-5,2,-2,-16,3
  2016 4Q,-2,-22,-44,-30,-43,-1,-5,-6,-4,-5,-4,-39,-11
  2016 3Q,-15,23,1,19,-19,9,-12,-13,4,14,5,-35,-3
  2016 2Q,-19,2,21,20,-11,2,1,0,-36,2,19,-20,5
  2016 1Q,-12,-16,-25,-21,-34,5,-23,-21,-6,-1,13,-36,-6
  2015 4Q,-27,-2,-48,-27,-33,-16,-1,-24,-32,13,6,-29,-15
  2015 3Q,-16,34,40,36,-13,8,-13,0,-47,22,11,-22,-3
  2015 2Q,-5,8,14,21,4,16,3,-23,21,6,2,-19,8
  2015 1Q,-4,-9,4,-8,5,8,8,34,20,4,52,-17,4
  2014 4Q,-7,2,-25,-14,-14,2,8,19,16,24,23,-30,-1
  2014 3Q,13,38,21,23,0,9,3,17,18,23,-1,-18,3
  2014 2Q,15,21,37,-5,22,13,34,8,14,12,23,-23,10
  2014 1Q,5,-13,3,3,17,10,16,35,0,25,15,-25,2
  2013 4Q,0,-4,-10,-29,-10,16,27,40,0,-6,-7,-23,3
  2013 3Q,9,30,31,36,5,17,11,-13,0,1,2,-16,19
  2013 2Q,9,9,43,26,29,15,4,-4,-23,5,-5,-41,21
  2013 1Q,8,-45,10,-17,-3,7,25,18,10,6,26,-32,18
  2012 4Q,3,-15,-27,-21,-11,-1,8,8,-6,-8,11,-41,-2
  2012 3Q,4,41,30,39,-14,7,-6,-25,-19,13,15,-18,2
  2012 2Q,4,15,44,30,4,10,-23,1,-25,-7,-1,-8,4
  2012 1Q,17,-14,18,0,-6,16,3,47,-14,0,20,-23,2
  2011 4Q,-19,-29,-29,-27,-14,-16,-68,-28,-52,-16,-9,-60,-15
  2011 3Q,0,23,15,51,-14,4,-54,-48,-72,25,33,-35,-5
  2011 2Q,25,26,66,27,15,23,12,1,13,49,40,0,10
  2011 1Q,20,-24,56,10,5,12,43,-25,5,49,42,2,14
  2010 4Q,22,-7,35,20,-3,-2,41,67,54,49,57,7,18
  2010 3Q,38,29,39,41,22,21,29,14,39,50,43,-6,12
  2010 2Q,37,29,42,47,24,38,34,-19,43,59,44,27,25
  2010 1Q,44,-18,12,45,24,5,78,37,46,67,61,39,20
  2009 4Q,33,-8,27,40,3,-1,64,27,58,33,24,19,21
  2009 3Q,23,27,44,41,-2,0,32,18,43,32,31,2,15
  2009 2Q,-3,-11,31,12,-19,4,12,32,48,9,5,-18,-8
  2009 1Q,-40,-62,-74,-45,-52,-26,-64,-50,-45,-32,-28,-58,-55
  2008 4Q,-45,-60,-100,-45,-66,-30,-70,-43,-80,-38,-44,-52,-49
  2008 3Q,-10,-12,4,24,-25,9,-33,-68,-45,-32,-17,-41,6
  2008 2Q,-1,-20,37,-15,8,12,7,-13,-49,-22,23,-17,17
  2008 1Q,9,-29,69,3,-9,23,7,-44,-47,-19,12,9,7
  2007 4Q,4,-12,35,27,-5,9,21,-11,9,24,20,17,19
  2007 3Q,24,31,79,74,18,5,19,-30,-8,37,10,30,33
  2007 2Q,28,2,62,66,17,23,34,-28,40,43,13,65,25
  2007 1Q,17,-21,63,0,18,12,28,-16,36,45,27,61,24
  2006 4Q,-11,8,27,31,-4,-5,49,35,46,52,27,73,36
  2006 3Q,13,34,48,58,8,2,19,-4,62,81,-5,69,34
  2006 2Q,17,22,68,37,18,1,26,-40,32,75,-13,66,16
  2006 1Q,14,-13,60,-5,14,-2,54,49,86,71,-6,63,22
  2005 4Q,5,-2,40,14,-7,2,55,47,55,22,27,71,6
  2005 3Q,8,38,64,52,14,13,16,10,48,81,-22,67,16
  2005 2Q,22,28,57,41,25,9,18,37,40,69,-24,72,10
  2005 1Q,10,-19,63,30,18,-1,46,40,58,58,-25,52,-6
  2004 4Q,-9,-9,14,42,-1,6,53,67,19,8,26,43,-4
  2004 3Q,17,39,74,66,16,18,52,7,46,78,-30,58,10
  2004 2Q,34,24,43,66,-15,29,63,24,43,72,3,53,9
  2004 1Q,25,-3,12,34,9,13,70,26,80,43,71,77,3
