Time,Current Ratio Manufacturing,Current Ratio Construction,Current Ratio Wholesale & Retail Trade,Current Ratio Accommodation & Food Services,Current Ratio Transportation & Storage,Current Ratio Information & Communications,Current Ratio Real Estate,Current Ratio Professional And Administrative & Support Services,Current Ratio Others
2020,1.7,1.3,1.3,0.9,0.9,0.9,1.4,1.1,1
2019,1.7,1.3,1.3,0.8,0.7,1,1.4,1.5,0.9
2018,1.6,1.2,1.3,0.9,0.8,0.9,1.4,1.5,1.1
2017,1.7,1.3,1.3,0.8,0.8,1.1,1.4,1.4,1.1
2016,1.8,1.2,1.3,0.8,0.8,1,1.5,1.4,1.2
2015,1.9,1.3,1.3,0.9,0.8,1.2,1.4,1.4,1.2
2014,1.7,1.3,1.3,1.1,0.9,1.1,1.6,1.2,1.1
2013,1.9,1.2,1.2,1,1.1,1.1,1.5,1.1,1
2012,1.7,1.2,1.3,0.9,1.1,1,1.7,1.2,0.9
2011,1.7,1.2,1.3,0.7,1,1,1.4,1.2,1.2
2010,1.8,1.2,1.3,0.9,1.1,1,1.2,1.3,1.3
2009,1.7,1.2,1.3,1.2,1.1,1.1,1.1,1.2,1.3
2008,1.6,1.1,1.3,1.1,1,1.2,0.8,1.3,1.4
2007,1.4,1,1.2,1.1,1.2,1.1,0.8,1.2,1.3
2006,1.3,1.1,1.2,1,1.2,1,0.8,1.2,1.4
2005,1.4,1,1.2,0.9,1.1,1.1,0.6,1.2,1.5
2004,1.4,1,1.2,0.8,1.2,1.2,1.3,1.2,1.3
2003,1.4,1,1.2,0.7,1,1.4,0.7,1.2,1.7
2002,1.5,1,1.2,0.7,1,1.1,0.7,1.1,1.2
2001,1.4,1,1.2,0.6,1,1.1,0.7,1.1,1.1
2000,1.3,0.9,1.2,0.7,1,1.6,0.5,1.2,0.8
1999,1.2,0.9,1.1,0.7,0.8,1.2,0.5,1.2,0.9
1998,1.3,1,1.1,0.8,0.9,1.6,0.5,1,1.1
1997,1.3,0.9,1.1,0.7,0.9,1.7,0.5,1.1,1.1
1996,1.2,1,1.1,na,0.8,1.7,0.6,na,0.8
1995,1.3,0.9,1.1,na,0.9,1.4,0.7,na,0.7
1994,1.3,0.9,1.1,na,0.9,1.3,0.7,na,1
