Time,GDP Manufacturing,GDP Construction,GDP Wholesale & Retail Trade And Transportation & Storage,GDP Finance & Insurance And Professional Services,"GDP Accommodation & Food Services, Real Estate, Administrative & Support Services And Other Services Industries"
  2022 4Q,28514.8,3683.6,28209.3,33072.1,24384.8
  2022 3Q,28673.9,3629.4,27719.5,32717.4,24216
  2022 2Q,29533.4,3485.3,27332.1,32591.4,23125.3
  2022 1Q,28796.6,3599.3,27853.7,32113.8,23067.8
  2021 4Q,29275.8,3348,27536.7,32259.9,22361.9
  2021 3Q,28361.9,3356.7,26375.4,31585.9,22122.6
  2021 2Q,27835.6,3302.9,26564.5,31056.4,21475.3
  2021 1Q,27218.2,3485.1,26736,30173.6,22263.9
  2020 4Q,25237.8,3134.4,25975,30192.8,22259.8
  2020 3Q,26274,2074.3,23763.4,28745.7,21162.3
  2020 2Q,23547.7,1476.2,23187.7,27623.3,18665.4
  2020 1Q,24403.5,4507.8,24701.4,28827.5,23194.4
  2019 4Q,22649.5,4974.6,26458.8,29180.4,24379
  2019 3Q,23667.5,4749.9,25781.1,27945.3,24643.6
  2019 2Q,23650.6,4629.8,25874.5,27748.2,24158.8
  2019 1Q,22529.7,4961.6,25409.8,26787.3,24211.4
  2018 4Q,23598.8,4930.2,26566.4,26787.9,24683.6
  2018 3Q,23965.8,4749.4,25854.3,25873.8,25506.2
  2018 2Q,23764.6,4640.9,25422.6,25506.9,25185.1
  2018 1Q,22533.9,4980.5,24768.2,25256.1,24996
  2017 4Q,22564.9,4997.1,26504.8,25406.4,24620.6
  2017 3Q,23163.1,4699.9,24942.8,24888.9,24776.4
  2017 2Q,21489.4,4630.8,24554.3,24453.9,24544.5
  2017 1Q,20481.6,4936.9,24239.4,23511.8,24213.3
  2016 4Q,21335.6,4952.3,26036.2,23645.1,24124.5
  2016 3Q,19414,5039.9,24660.1,23241.5,24520.1
  2016 2Q,19795.1,5148.9,23821.5,23098.9,23965.7
  2016 1Q,18888.4,5123.6,22747.4,22652.6,23910.8
  2015 4Q,19089.8,5312.3,24439.5,23115.7,23473.6
  2015 3Q,19062.5,5177,24200.8,22653.5,23613.2
  2015 2Q,19487.7,5043.8,23973.9,22499.5,22851.3
  2015 1Q,18958.2,4897.7,22985.3,22049.5,22247.2
  2014 4Q,20353.7,4968,24259.3,22619.8,22250.7
  2014 3Q,20214.3,4831.2,23114.2,21675.7,22108
  2014 2Q,20359.3,4639,23060.1,21341.1,22137.6
  2014 1Q,19811,4836.6,21986.3,20837.8,21473.1
  2013 4Q,20591.9,4655.8,23298.7,20607.6,21333.3
  2013 3Q,19876.5,4458.8,22413.9,20180.2,21596.4
  2013 2Q,20083.7,4256.2,22220.5,20399.4,21347.9
  2013 1Q,18076.5,4348.9,21550.1,20115.9,20685.5
  2012 4Q,19218.8,4495.3,22094.6,19119.8,20391.7
  2012 3Q,18888.6,4364.2,21185.2,18156.3,20199.6
  2012 2Q,19927.6,4193.1,21584.4,18276.7,20139.7
  2012 1Q,19301.1,4236.7,20093.4,17898.8,20194.4
  2011 4Q,19261.4,4244.8,20639.5,17814,19702.1
  2011 3Q,19164.7,3987.7,20417.2,17768.1,19941.6
  2011 2Q,19147.1,3663.8,19947.9,16855.3,19316.1
  2011 1Q,19516.9,3716.2,18919.7,16785.5,19104.1
  2010 4Q,17617,3949,19650.9,17164.6,18657.1
  2010 3Q,17597,3808.9,19004.6,16299.6,18259.2
  2010 2Q,19901.8,3704.5,18566.5,16111.3,18165.6
  2010 1Q,16391.2,3636.2,17694.6,15771.9,17145.1
  2009 4Q,14017.3,3966.1,17387.6,15556.1,16447.8
  2009 3Q,15475.5,3560.8,16810.1,15311.8,16151.4
  2009 2Q,13701.8,3288.8,16214.5,14827,15689.1
  2009 1Q,11948.5,3293.1,15649,14072,15470.4
  2008 4Q,13683.5,3288.2,16542.4,14275.6,15471
  2008 3Q,14391.2,3066.9,17849.9,14744.9,15376.9
  2008 2Q,13777.5,2661.2,18015.8,14857,15181.6
  2008 1Q,15678.6,2518.6,17633,14466.6,15018.8
  2007 4Q,15327.4,2575.8,17310.7,14755.4,14702.1
  2007 3Q,16160.9,2337.5,17169.6,14354.3,14464.8
  2007 2Q,14589.9,2075.9,16687.9,13915,14177.3
  2007 1Q,13967.6,2228.7,16263.9,13024.1,13935.7
  2006 4Q,15521.5,2078.1,16265.7,12692.5,13719.6
  2006 3Q,14457.2,1955.9,16001.5,12236,13498.4
  2006 2Q,13578.5,1709.5,15338.6,12150.9,13220.3
  2006 1Q,13121.4,1894.3,14860,11791.4,13134
  2005 4Q,14320.7,1869.3,14923.7,11349.6,12877.7
  2005 3Q,13118.1,1745.8,14646.6,11140.2,12936.9
  2005 2Q,12131.9,1623.4,14208.5,10973.2,12639.7
  2005 1Q,11070.5,1843.4,13680.2,10744.4,12518.5
