Time,Below Secondary,Secondary,Post Secondary (Non-Tertiary),Diploma & Professional Qualification,University
2022,646300,492200,308000,521900,1116900
2021,643900,492600,281300,486200,1074300
2020,757800,484300,296900,456800,982000
2019,745700,503700,265900,461200,946200
2018,761500,511200,260700,434900,908700
2017,813800,488800,253500,415900,874000
2016,819300,500400,249800,411500,814200
2015,800000,519200,250500,405500,775800
2014,832100,502500,238000,401800,758100
2013,833300,501200,232400,372600,729700
2012,848200,499800,239400,364600,674400
2011,869800,510900,230300,352300,638600
2010,888200,490600,244800,342400,610000
2009,928600,566400,144200,314900,568900
2008,899000,555800,159200,295100,532200
2007,987500,535500,154500,278700,492100
2006,993700,529800,152100,261100,471900
2005,937600,487800,210700,267800,404600
2004,1004900,503300,146200,231200,396900
2003,1015900,516300,146600,216500,367700
2002,1004900,528300,145500,196600,323500
2001,997200,511700,139400,189700,288900
2000,939600,496900,185300,202300,249900
1999,1027900,501900,135900,163800,237900
1998,1023500,493300,132100,151600,220300
1997,1041700,470600,129300,133300,194800
1996,1019300,475400,127300,121600,172700
1995,976800,488400,146100,108800,140800
1994,1030300,438900,120000,95100,132500
1993,1034000,417700,111600,83800,121400
1992,1028300,408800,108500,79700,105400
1991,1026200,397300,100400,67200,88200
1990,1027100,382500,76700,59100,77000
